"";"id_post_u";"message";"loc";"candidate";"lon";"lat";"nse"
"16";"1345713812148357";"NO PUEDES FALTAR, VAN TODOS! Por #TiemposMejores para Chile <U+0001F1E8><U+0001F1F1> te quiero invitar a nuestro acto de campaña!!! Este #Miércoles a las 20:00 en el Estadio Palestino (Av. Kennedy 9351) nos juntaremos junto a todos los que queremos #TiemposMejores para Las Condes, Vitacura, Lo Barnechea, La Reina y Peñalolén";"avenida kennedy 9351, las condes , Region Metropolitana, Chile";"GUILLERMO RAMIREZ";-70,542776;-33,3893092;93,94
"17";"1347353308651074";"Quien dijo que los jóvenes no se interesan en política?<U+0001F914> Junto a alumnos de la Universidad de los Andes hablando de la contingencia política y los temas que voy a defender como diputado en el Congreso #RamírezDiputado #PiñeraPresidente";"universidad de los andes, las condes , Region Metropolitana, Chile";"GUILLERMO RAMIREZ";-70,5064082;-33,4043009;90,4
"18";"1345598472159891";"#LACISTERNA | Hoy recorrimos la feria Brisas del Maipo para conversar con los vecinos e invitarlos a renovar el Congreso! Nuevas ideas y estilo! #TiemposMejores #PilladoDiputado #PiñeraPresidente";"feria brisas del maipo, la cisterna , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6547353;-33,5308232;42,32
"19";"1365703516882897";"#LACISTERNA | Hoy recorrimos la feria Brisas del Maipo para conversar con los vecinos e invitarlos a renovar el Congreso! Nuevas ideas y estilo! #TiemposMejores #PilladoDiputado #PiñeraPresidente";"feria brisas del maipo, la cisterna , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6547353;-33,5308232;42,32
"20";"1365703516882897";"¡MÁS FERIAS, MÁS IDEAS! #SANRAMÓN | Hoy recorrimos la feria Bolivia. Para mí es fundamental tener contacto con los vecinos para trabajar de forma responsable por nuestras comunas #PilladoDiputado #PiñeraPresidente";"feria bolivia, san ramon , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6396954;-33,5393702;33,48
"21";"1369102813209634";"¡MÁS FERIAS, MÁS IDEAS! #SANRAMÓN | Hoy recorrimos la feria Bolivia. Para mí es fundamental tener contacto con los vecinos para trabajar de forma responsable por nuestras comunas #PilladoDiputado #PiñeraPresidente";"feria bolivia, san ramon , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6396954;-33,5393702;33,48
"22";"1377986715654577";"¡RENOVEMOS JUNTOS LA POLÍTICA! #SanRamón | Junto a Allan Mckenzie, candidato a CORE, recorrimos la #feria Bolivia. Entre los vecinos solo existía indignación y decepción por la situación de la comuna, por lo mismo piden a gritos una renovación de la política con jóvenes e ideas claras! #PilladoDiputado #VotaP78 #PiñeraPresidente";"feria bolivia, san ramon , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6396954;-33,5393702;33,48
"23";"1375366855916563";"¡VIVA CHILE! <U+0001F1E8><U+0001F1F1> Llegó septiembre y con él sus tradicionales celebraciones. Hoy estuvimos compartiendo con los vecinos en el Campeonato de Cueca Interescolar en #ElBosque y en la Peña Folclórica en Colegio Don Bosco en #LaCisterna. ¡Gracias por todo!";"colegio don bosco, la cisterna , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6624309;-33,5309082;79,8
"24";"1375366855916563";"¡VIVA CHILE! <U+0001F1E8><U+0001F1F1> Llegó septiembre y con él sus tradicionales celebraciones. Hoy estuvimos compartiendo con los vecinos en el Campeonato de Cueca Interescolar en #ElBosque y en la Peña Folclórica en Colegio Don Bosco en #LaCisterna. ¡Gracias por todo!";"colegio don bosco, la cisterna , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6624309;-33,5309082;79,8
"25";"10155405140003025";"""Ahora en el debate """"El rol de los diputados en el Refugio y Inmigración"""" en el Club Sirio Unido en Vitacura.""";"club sirio unido, vitacura , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,551965;-33,385582;85,97
"26";"10155405140003025";"""Ahora en el debate """"El rol de los diputados en el Refugio y Inmigración"""" en el Club Sirio Unido en Vitacura.""";"club sirio unido, vitacura , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,551965;-33,385582;85,97
"27";"10155405140003025";"""Ahora en el debate """"El rol de los diputados en el Refugio y Inmigración"""" en el Club Sirio Unido en Vitacura.""";"club sirio unido, vitacura , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,551965;-33,385582;85,97
"28";"10155393325153025";"Amigos hoy Domingo 5 de Noviembre estaremos haciendo campaña en varias ferias del Distrito. ¡Los invitamos a sumarse a alguna de ellas! *Feria Arrieta* Punto de encuentro 11:00 hrs. Tobalaba con Arrieta, Peñalolen Responsable Danilo. *Feria El Valle* Punto de encuentro 11:00 hrs. Caracas con El Valle, Peñalolen Responsable Gabriel. *Feria Consistorial* Punto de encuentro 9:00 hrs. Consistorial con Las Parcelas, Peñalolen Responsable Bernarda. *Feria Clorinda Henríquez* Punto de encuentro 11:00 hrs. Tobalaba con Larraín, La Reina Responsable Flavio. *Feria Patricia* Punto de encuentro Patricia con Paul Harris, Las Condes 11 AM Responsable Juanita. ¡Nos vemos en la feria! <U+0001F609>";"feria arrieta, penalolen , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,5538368;-33,4626875;76,82
